CVSets: 4.0
person;acc;tp;tn;fp;fn;auc
1;0.55;0.225;0.325;0.175;0.275;0.604761904762
2;0.55;0.275;0.275;0.225;0.225;0.5625
3;0.725;0.375;0.35;0.15;0.125;0.761904761905
4;0.5;0.25;0.25;0.25;0.25;0.5375
5;0.525;0.25;0.275;0.225;0.25;0.636160714286
6;0.5;0.325;0.175;0.325;0.175;0.485416666667
7;0.45;0.175;0.275;0.25;0.3;0.458333333333
8;0.7;0.3;0.4;0.15;0.15;0.727380952381
9;0.725;0.3;0.425;0.075;0.2;0.754464285714
10;0.8;0.35;0.45;0.05;0.15;0.800892857143
11;0.65;0.275;0.375;0.125;0.225;0.65
12;0.575;0.25;0.325;0.2;0.225;0.605654761905
13;0.825;0.375;0.45;0.05;0.125;0.848511904762
14;0.725;0.35;0.375;0.125;0.15;0.729166666667
15;0.7;0.375;0.325;0.175;0.125;0.69375
16;0.65;0.3;0.35;0.15;0.2;0.652529761905
17;0.6;0.3;0.3;0.2;0.2;0.675595238095
18;0.725;0.35;0.375;0.125;0.15;0.75
19;0.75;0.35;0.4;0.125;0.125;0.745833333333
20;0.775;0.425;0.35;0.15;0.075;0.775
21;0.625;0.3;0.325;0.175;0.2;0.647321428571
22;0.675;0.35;0.325;0.175;0.15;0.666666666667
23;0.625;0.325;0.3;0.2;0.175;0.668154761905
24;0.725;0.325;0.4;0.1;0.175;0.729166666667
25;0.425;0.15;0.275;0.25;0.325;0.494047619048
26;0.475;0.225;0.25;0.25;0.275;0.521130952381
27;0.55;0.3;0.25;0.25;0.2;0.621428571429
28;0.65;0.325;0.325;0.175;0.175;0.65625
29;0.45;0.2;0.25;0.25;0.3;0.5
30;0.6;0.25;0.35;0.175;0.225;0.627976190476
31;0.675;0.3;0.375;0.125;0.2;0.714880952381
32;0.725;0.325;0.4;0.1;0.175;0.72619047619
